,ID,LONGDISTANCE,INTERNATIONAL,LOCAL,DROPPED,PAYMETHOD,LOCALBILLTYPE,LONGDISTANCEBILLTYPE,USAGE,RATEPLAN,GENDER,STATUS,CHILDREN,ESTINCOME,CAROWNER,AGE,PredictedChurn
0,1,23,0,206,0,CC,Budget,Intnl_discount,229,3,F,S,1,38000.0,N,24.393333,T
1,6,29,0,45,0,CH,FreeLocal,Standard,75,2,M,M,2,29616.0,N,49.426667,F
2,8,24,0,22,0,CC,FreeLocal,Standard,47,3,M,M,0,19732.8,N,50.673333,F
3,11,26,0,32,1,CC,Budget,Standard,59,1,M,S,2,96.33,N,56.473333,F
4,17,12,0,46,4,CC,FreeLocal,Standard,58,1,M,M,2,53010.8,N,18.84,F
5,21,20,0,13,0,CC,Budget,Standard,34,3,M,M,0,19749.3,N,60.36666700000001,F
6,22,9,0,38,0,CC,Budget,Standard,48,2,M,S,1,57626.9,Y,43.906667,F
7,24,17,4,49,1,Auto,FreeLocal,Standard,72,2,F,M,2,47902.0,N,26.033333,F
8,35,0,0,28,0,CC,FreeLocal,Standard,29,4,F,S,0,78851.3,N,48.373333,T
9,36,22,0,13,0,Auto,Budget,Standard,36,4,F,S,1,17540.7,Y,62.786667,T
10,38,26,0,12,0,CC,FreeLocal,Standard,38,4,F,M,2,28220.8,N,38.766667,T
11,42,13,8,56,0,CC,Budget,Standard,78,2,F,M,2,5237.63,N,48.753333000000005,F
12,45,11,1,22,0,CC,FreeLocal,Standard,36,2,M,S,2,89459.9,N,53.28,T
13,48,14,0,25,0,CC,Budget,Standard,40,1,F,S,1,13576.5,N,39.426667,T
14,52,4,0,91,1,CC,Budget,Standard,96,3,F,M,2,67388.0,N,53.12,T
15,53,16,0,81,0,CH,Budget,Standard,98,4,F,M,1,57063.0,Y,52.333333,F
16,54,3,0,11,1,CC,Budget,Standard,15,2,F,M,2,84166.1,N,54.013332999999996,T
17,60,11,0,50,0,CC,FreeLocal,Standard,61,4,F,S,1,7737.94,N,42.666667,T
